0BY45GEF32ZDMC370E43;Drawbridge Long Dated Value Fund II (B) LP;4061611
0KI513U38P254A4IFP31;FRO UB Investments LLC;5035251
1TQQ1F10UYW801TNUV23;Fortress Partners Fund LP;4172517
213800L88QLU23AVIT63;ATOMVEST LIMITED;2177959
213800R4G3N2G68CHU37;BARCLAYS DRYROCK ISSUANCE TRUST;5166902
2221000N0GRF62YN0A28;CF Stefano Property Holdings S.à r.l.;B197125
222100Y1BWNS1NM1Q002;CF Lambert Property Holdings S.à r.l.;B188074
25490000OGVJZR74L509;Utah Mortgage Loan Corporation;1099419-0142
25490002QDEB2KTLNK39;Latvijas Republika, ko pārstāv Latvijas Republikas Valsts kase;90000597275
25490003YGASV5ENH153;Reliance State Bank;85047
25490004B8LKDPE9SE12;Atlantis Investment Management (Hong Kong) Limited;AFH256
25490004EH77G8CG3205;MCAP LLC;4461662
25490004HIQXR4TPCB88;Canadian Dentists' Insurance Company SCC;25866
25490004VI9T96LWQO26;Falling Creek 2530 LLC;6401154
25490004XX5DDMZX9P38;Multi Metals Harbour Pte Ltd;201538885Z
25490007RQZBTI91HW10;BT Asset Management SA I SA;PJR05SAIR/120016/29.03.2005
25490008E58FJ6W0UF31;Everbright Dynamic Bond Fund;CT-269899
254900098L1CRLQ9UW35;Kestrel S.A.;CHE-103.267.505
2549000AILT0S3JB6U32;Stirling Medical Lacombe, LLC;42580171K
2549000BFX2MHJAEPB46;PYRUM LTD.;1940867
2549000BL57D7H75EI05;Anella Limited;10460085
2549000BZP6G34K8S041;Whitaker Securities LLC;3525277
2549000CMOE4SRPHZD78;Schildershoven Finance B.V.;33287037
2549000CMS7EXFGYOD08;TTK REINSURANCE COMPANY, LTD.;E 44315
2549000F6WFO5OOBV166;China Alpha Fund Management (HK) Limited;467286
2549000FHWYBIGFSNQ33;Rubber Realty Trust;""
2549000H0WG6XTA5IV30;CI Casa de Bolsa S.A. de C.V.;VCB070518M88
2549000HMYQCZR4AU507;天造股份有限公司;20895630
2549000HYYAUPFRFTQ09;Topline Securities Limited;0042619
2549000IR158C2STKF79;Southern Trust Sociedad Gerente de Fondos Comunes de Inversion S.A.;1802006
2549000ISKL3OP5JUK41;Foundation CA Fund VII Owner, LLC;201330410360
2549000K988VB2LHA565;FFA (Dubai) Limited;CL0269
2549000KI904N9LYRH98;Saga Tree Asia Master Fund;635062
2549000LLYQ1UYXBI872;Jelco Investment Ltd.;18509
2549000LSCTO83QYU961;OSIRIS Capital Partners LLP;478159
2549000MRHJDB1GIKH75;Herbert Taylor Trust U/A 2/1/1961;""
2549000NTDO0Q5Y5VF72;First Community National Bank;1639
2549000O4WBBX55V8O79;Platina Greater China Master Fund;1300935
2549000OWFBPPNL7DY29;Mirabaud Swiss Equity Asymmetric;N/A
2549000PKA1I9FK59J44;Fighton Capital Limited;BDQ377
2549000Q4RQ5IP0D4054;PEN Concept Group AB;556772-5667
2549000QEHVKHWOQ5D23;MyTyme Investments Inc;870417-1
2549000R3O495ZN9H307;China Alpha Master Fund Limited;1242942
2549000T5CFDH9S64739;Sagaponack Aircraft, LLC;1133844
2549000V0AZNY9G2SB94;OCC Purchase LLC;4380452
2549000VSYWIQCCNP311;Chatsworth Asset Holding Ltd;1715470
2549000XX55X5K3UG024;XT MARITIME LTD.;510797152
2549000ZEJPSBH6OSH79;The Henry County Bank;166189
25490010AR6F8MWX6465;Ignacio Pines, LP;201714500003
254900132QUSIC6EMR63;Global Securitisations SCC p.l.c.;77732
25490014H5TMIL4E7G03;Lake City Federal Bank;1446
25490014K7C8FA2TMO06;Creativity Global Equity Fund;276052
254900152J7FTISBM048;Immobiliere du Vivier d oie SPRL;0466.239.408
25490015J04ZUM41AU12;RACER REINSURANCE COMPANY, LTD.;E 43064
25490016KMG6S9UAVM61;LIVING STREAM MERCHANTS INC.;BC1032449
25490017IQ0VEEXTOG38;Capital Global Management Limited;ALY556
25490018IFQOT83Q7H49;GSF Mortgage Corporation;2479046
2549001A8TEFEV57IZ02;ALDERMAN'S REINSURANCE LIMITED;E 40013
2549001AFP4CS14GLU82;EJC CSC REINSURANCE COMPANY, LTD.;E 43284
2549001AS1I9A71VG663;Copel - Companhia Paranaense de Energia;41300036535
2549001CQGRSBIIMSH98;Ambient Bidco Pty Ltd;612333481
2549001E7EW3LALI5S74;Morden Barn Limited;10476370
2549001FFAPF84BH0A66;Hopetown Holdings Limited;168739B
2549001HCOB6ESCT8L65;Feracs Asset Management & Advisory SA;41ZNEQ
2549001HZVHVRBNBEN22;The Desert Bear Trust;""
2549001I4ATS1KC35556;CFMDC BWAY RETAIL MEZZ II LLC;6358695
2549001IK7UDPADKAG34;Unitus Community Credit Union;219594
2549001J6ZXRWGYVR430;Image Microsystems Inc.;0800010938
2549001JUXIA7YLZ7Y17;Suisse International Inc.;113275
2549001K1AC145600S11;Jojka Communications AB;556666-6466
2549001NL0UO9NM60Z72;RICHARD INTERNATIONAL SA;B66317
2549001NQLF1MJFJ2M98;Encrete Properties LLC;1594480
2549001NYA75SUFD9C04;G&S REINSURANCE Limited;E 43976
2549001OK55PFGXM4827;USINAS SIDERURGICAS DE MINAS GERAIS S.A. USIMINAS;5834096
2549001PK6LD80M08083;F. L. Tucker, Ltd.;0015147910
2549001QM58TZOVRDU60;Beaconsfield Language Services Limited;05996331
2549001RCXU87G6HIR86;Bella 2017 LLC;17048533
2549001TX7CBY80DP476;Pleasant View Nursing Home, Inc.;433673
2549001UQXYY5WOLXK20;General Atlantic Singapore Fund FII Pte. Ltd.;201400273H
2549001V2UV655G3RM91;Reliance Servicos Financeiros Ltda;35218685989
2549001VRGCSATBHJU56;Centium Investments, Inc.;802705487
2549001WF15H4BEW9K57;PLEASANT VIEW ASSISTED LIVING LIMITED LIABILITY COMPANY;1011195
2549001X5JEYBXV8MR54;Coffee Stain Studios AB;556821-8225
2549001XNOVBL68CPP27;Fort Knox Federal Credit Union Service Organization Inc;0173933
2549001XVX1R2ITF6935;Home Federal Bank Corporation;0522973
2549001YS6CJJ8W6M615;Flag Income Notes Pty Ltd;91160816375
2549001ZLETDHBBYLL07;EBS 2 REINSURANCE COMPANY, LTD;E 45820
254900207GAVYDQZRI82;SNOWDROP VENTURES LTD.;135940B
25490020ANCY4VDS3D20;ADMIS Singapore Pte Ltd;200802063h
25490020BN5AILK9O105;Emerald Global Fund SPC - Platinum 18 SP;1201336
254900237R332M8L2724;The Miners National Bank of Eveleth;1144
25490024XV5ZTBJ1W891;Sunfresh Ltd;05207224
25490025XB7IDBRLQ851;The Nook at White Rock East, Ltd;0802742027
25490026AB9ME1DX2507;DBS Vickers (Hong Kong) Limited;03774353-000-02-17-0
25490026BC0N00X2SU47;Teakwood Capital Limited;2419135
25490029OUUQVDHTBV14;Compass Bank Corporation;2923
2549002AOWUCD3BSTP80;AmeriFirst Bank;213 – 851
2549002DKGJ41OC24402;Bigel Ltd.;1141394
2549002F2MBMPG0YSQ20;BOONVILLE FEDERAL SAVINGS BANK;191631-019
2549002H1624N6UI8169;Hansa Aktiengesellschaft;CHE-107.904.340.
2549002I5BTSVU330U48;Apricus Finance SA;100073
2549002IAQYS1LVQE895;River Oaks Limited;83938
2549002IXACRD1HE6A92;Midstates Bank, N.A.;4465
2549002IXSOFFVBXQR45;Earlyworld Capital Limited;10023409
2549002IZ23SIRJOUQ02;House of Wealth SA;CHE-223.636.405
2549002K9XFYLEC6A311;Lascaux Resource Capital Fund I, LP;220660856
2549002MI5DFOS2RR259;Countryside Bank;21952
2549002OCMCJIOOONI88;United Bank of Iowa;84935
2549002OD3DEYB277P44;Vaudoise Generale, Compagnie d'Assurances SA;CHE-105.762.690
2549002PLWTG0IBMUY68;CK Holdings Ltd.;45479
2549002PTX8CJA1OZX37;Alpha Beta Capital Pty Ltd;154076490
2549002Q5KZ0RDKI8602;Royal Resources Capital AG;CHE‑415.149.268
2549002QCUH9VKMEXE05;BNC International Banking Corporation;EBI-12
2549002SF3DG2I3JQQ59;G S Shingles Discretionary Trust;Document
2549002SPPIBY55JEM84;Morningstar Investment Management Europe Ltd;449468
2549002SWR163M5NPX96;TAURUS CD 193 OLDE RALEIGH NC LP;6458203
2549002UGAA36RN7B438;Silo Investments Limited;125919B
2549002VQWUNB4JS7247;G-20 Advisors AG;CHE-358.588.730
2549002YE54CIYOVYX90;WIM FMB Portfolio Owner, LLC;6458104
254900335WSCL5NYU573;Factorial Management Limited;AYJ875
25490033EM4BVCNMV680;WCOL, L.L.C.;0802274005
25490033GU2UKWY8MK10;MKS Lodgings LLC;2013052000389
25490033YJ7IUZ773G48;National Avenue Partners II, LLC;6413710
25490034D9PODALSAP93;PTT International Trading Pte Ltd;200010108W
25490036VZXFDDH37Q07;Century Bank of Georgia;K931582
254900372RJSFIZ5QQ10;Sierra Park, LLC;6406008
25490037ICV7XT5LCB72;Front Street Re (Cayman) Ltd;CR-238642
25490038431V6IB49A17;TaHa Limited;IC/2811/10
25490039D55J3ZL21O72;Sibcy Cline Mortgage Services, Inc.;612526
25490039WM4YHQHK1G77;MIDLAND CONSUMER INTERNATIONAL LIMITED;153341
2549003ANJCL8IYBDU29;901 OCEAN AVENUE DELAWARE LLC;6420897
2549003AZ48HJRWR3J74;Integral Technology LLC;5222214
2549003CUY599D7OCD90;Golden Agri International Pte. Ltd.;199800781G
2549003DAILATLCBDJ67;CM-CIC Market Solutions, Inc.;2960210
2549003E1YOW83GR2Q12;Plaquemine Bank and Trust Company;19800
2549003GFOF2W16K6Q27;Glassline Partnership LTD.;0011200510
2549003GK2QIVTJ8BB21;ALBLW Reinsurance Limited;E42727
2549003GUT38CVJ5C610;PT Sinar Mas Agro Resources and Technology Tbk. (PT SMART Tbk);09.05.1.10.38305
2549003H6QL9L5DQUW11;Goldcin Partners LLP;509772
2549003I628RVLQLDM21;CCF BKM CABOT, LLC;6421584
2549003J513S1O6C9Z82;mRNA RiboTherapeutics, Inc.;C070594
2549003KE4TBG4N5AY60;Union Bank;390840
2549003KKT3IIF6E7I32;Elephas Investment Management Limited;BGB208
2549003KXHW3E3W4OA87;Castanum Holdings Limited;1847112
2549003L3YJSY29EP505;Crown Bank;35480
2549003LQ2GX1FXR6931;Zedra Trust Company (Suisse) SA;CHE-100.407.106
2549003M9JZEKMCZE926;Simpson Street Consultants Limited;10442523
2549003NW3N2TA8LS991;Gaynor Ltd.;48218
2549003P2QIEYFTMPX20;Rosburg Limited;010700V
2549003QI2YYPH8YN855;Sounion Capital Management UK Ltd;09302599
2549003SZCNXGZILEQ19;Company EYE Ltd;06473634
2549003TLEXYJIFA3O32;J. Stern & Co LLP;OC378306
2549003TVEJQMK9QJ738;W E Lawes 2009 Discretionary Settlement;""
2549003V3XS2RZQ4V143;NOVELTY DEPT STORE PTE LTD;199506892M
2549003VAGNPF6RRLJ38;Investa Securities Limited;594003
2549003VO95NGF435U70;Clay County Bank, Inc.;125805
2549003VVWA1ODZ39D32;Advocate Capital Master Enhanced Beta Fund LP;VXEFP4.00000.LE.136
2549003W785UK85X1W35;TransMarket Bulwark LLC;5713962
2549003WQASEEB7X5N09;MPC Buffalo LLC;32043435521
2549003WYFPGUVPTRK86;Monona Bank;1872996
2549003XLGU7VNW2CR42;Fairway Insurance Limited;28314
2549003XOG3KIZU9N666;Ardmore Associates Reinsurance Limited;E 39959
2549003Y60POEZH3LX65;CMS Tactical Credit;C155837
2549003YG0IT1JKG7958;Nationalbankens Personaleforening;15575042
2549003ZYZM7FHPZV590;DEPARTMENT OF THE INTERIOR FEDERAL CREDIT UNION;572972
254900400F8HM918K561;Daintree Capital Management Pty Ltd;45 610 989 912
254900414KBAAHFWNU58;Pharus Management SA;CHE-100.938.148
25490041O5W104HFWA62;MKM Partners LLC;0697632
25490042L5MVWVPMPO66;SUNLIGHT INTERNATIONAL INVESTMENTS CORPORATION;665014
25490044NP9XSNWW7F27;WPS OÜ;12584555
25490045517ADNT4RS42;Jelco Holding Corp.;18506
25490046GL77VSFSYG24;Signature Bank of Arkansas;200000279
254900479HJCK4ATBF87;Cedar Grove Partners IX LLC;6350586
25490047DXSX2HF6QY47;First Bank;0423016-5
25490049ZK9LGGBW3X87;Limmat Capital Alternative Investments AG;CHE‑112.265.758
2549004BOCU15LMNDJ92;Bursa de Valori Bucuresti SA;17777754
2549004C5I15PRIPVZ16;EFACTOR3 LLC;1057697
2549004CCTS6IQS85V88;Boggy Bayou Real Estate Holdings, Inc.;P02000093690
2549004CU9LAM5CYA280;Kwik Mortgage Corporation;0100765118
2549004DENUUZY85ZB69;Aristotle Capital Management, LLC;3327532
2549004DMRHX8AP52M41;LOVE REINSURANCE COMPANY, LTD.;E 43448
2549004EXIAAMK5CLH54;Capital City Bank;G75579
2549004G955XY9WN6O22;Elezeno Capital Limited;BER807
2549004HGJ779LV4MR40;ChinaRock Capital Management Limited;1092184
2549004HMP9HRBAZWZ80;WHITECROFT Core Bank Risk Sharing Fund S.A., SICAV-FIAR;N/A
2549004IBPGKKEIK3578;NETDATA CONSULTANTS LIMITED;04046254
2549004IPXPSM9EJFC92;Mischler Financial Group, Inc.;C1916951
2549004KW7K0PF1U4A79;Height Securities LLC;4690668
2549004PCRVQJ5CDOF98;Vaudoise Vie, Compagnie d'Assurances SA;CHE-103.577.288
2549004Q7BFIOW703P95;Kirwan Enterprise LLC;043313608
2549004SZJ75H7IKRC11;Angeloni Consulting;14P08177
2549004TWBRE8IJ7DZ18;United Bank Financial Corporation;223825
2549004VKE2EAZG4E794;Coffee Stain Holding AB;556995-0180
2549004W2JKWS6P17T44;United Bank of Michigan;11807
2549004W4HOGLS179S28;Prima Capital Advisors LLC;2821628
2549004W6HDKP3P7NG77;Valeur Fiduciaria SA;CHE-114.705.515
2549004W7KF3SX6QAD94;Spartan Group Trust for Employee Benefit Plans: Spartan Global ex US Index Pool;""
2549004WBDC394DA3W87;Premier Credit Union;64271
2549004XJQQPBYQSMT39;Quontic Bank;57807
2549004YJU2D0LPTQ681;Brock Air Products, Inc;1288066
2549004Z898950GUFQ10;China Galaxy International Securities (Hong Kong) Company Limited;AXM459
25490050NXBB633LPB95;Newlands Investments;09000556
25490051JLRKAXBCD233;Silo Technology Investments Limited;112544B
2549005377QFDAS8RS85;Høegh Capital Partners AS;988664839
25490053EOTTYNCHDK06;Las Vegas PropCo LLC;6398862
25490053H6JWQDX4RM47;Diamond Credit Union;2748346
25490053QEQO83AZIX15;Citizens Community Bank;J716628
25490054MLL59G4UZJ17;Lenovo PC HK Limited;10164206
254900555PA4QMA3ON46;SROA Belleville Property, LLC;6470286
25490055IRASC4254X28;Terastehnika AS;11322244
25490055TYL452262Z02;Moonglow Consultants Limited;004738V
254900561K135J92VD38;First Security Bank;5633
2549005795FS9CKP1P97;Rosewood Realty, LLC;199932710110
2549005ABE0YVQR7Y245;RISSPORT I, LLC;001672605
2549005ASA9TUACEW325;MOTILAL OSWAL SECURITIES LTD;INB 231234833
2549005B3AB0I6442B59;international coffee traders pte ltd;200601600D
2549005BYXAME5AQKN37;Kentucky Center for the Arts Foundation Inc;0145414
2549005CX0M4OXREHE74;Lindseyfield Limited;007564V
2549005DSUAK9VKS7V92;Annasette Investments (Cyprus) Limited;370846
2549005E4ENJY7935645;Foundation CA Fund V Manager, LLC;201125710199
2549005G3MRLCK02KZ05;Leodis Wealth Nominees 2016 Limited;10525708
2549005GKMFW7L2GWQ19;Entromed OU;12349558
2549005H1Y4HZTQXS657;ArchiTech Capital Master Fund Limited;WC-313502
2549005I9PBROMLV8824;Tradition Government Bond Brokers & Derivatives Brokers (Pty) Ltd;2004/030840/07
2549005JA5XQ43IM2J69;PacificLight Power Pte. Ltd.;199901043R
2549005KEMNLKT312H45;Distinctive Kitchens and Baths, Inc.;P98000039615
2549005O94DAZVV0P036;Cross County Savings Bank;30260
2549005QCRDJBENUFS10;Western Milburn Street, LLC;6399583
2549005RQQ9A5CNFVG05;Commercial Banking Company;J716084
2549005SZK70YZKJQO38;Serra Saginaw Automotive, LLC;F1324U
2549005TXW37CLLSL778;AJ Auto Realty LLC;6399090
2549005YGBORVQ7E1I13;Mkt Consulting Ag;CHE-394.887.329
2549005YJM8ENGWSJR83;Sinopac Securities Corporation;23113343
2549005YKTFCXWC6C688;Ella Holding S.A.;CHE-482.441.022
254900600P224MZQZD69;Gulf Bank KSCP;8347
25490061AI5257436N44;Deep Field Fund SPC Ltd. - Singularity Managed Futures Program SP;1598204
25490062BRFKCI4PXV82;3W Global Fund;1182064
2549006358PMWG1U1Y86;Quaestor Vermogensbeheer;0472.290.525
254900639EOJ1QZC2567;Charles River Bank;001027429
25490064B2LP4W1CRC76;SC Lowy P.I. (Lux) S.a.r.l.;B195322
25490064U81YNBC8BX88;Aria (SAC) Limited on behalf of SAC 007 - Aria Medical Assurance;""
25490064VL87OB6IGX24;PCS Global Volatility Fund I;MC-320114
2549006586O0PMRUOU15;Bach Option Limited;1859593
25490065C95TQEXI1M19;Mercantil Bank (Schweiz) AG;CHE-106.287.817
254900667M5CK6Y3DF27;Banco do Brasil Americas;J18236
25490067KR1892AY6D58;Truston Asset Management Singapore Pte Ltd;200722954k
25490067N89L5S0KCL02;COMMERZBANK BRASIL SA - BANCO MULTIPLO;35.300.483.651
25490068U490J38NVA74;3W Greater China Focus Fund;596735
25490069I63UAUQ90017;United Nations Joint Staff Pension Fund;""
2549006A34A1F1ZGTT81;East Cambridge Savings Bank;001103390
2549006EO29459JQ1S43;First Professional Liability Insurance Company Ltd;25908
2549006FEPBCMW266H93;Agilysys NV LLC;3756963
2549006HJBA7HTOZF285;Freedom Credit Union;000860577
2549006HYE8RMAVZ0D07;Waterfall Limited;2168893
2549006I6DW3SGK5HG85;Fluent SA;CHE-427.840.466
2549006IYID0ECYSJU25;Sail Mortgage Corp.;1532841
2549006K6WG5VQC4G285;Finnley SA;B80272
2549006L0AF1UBIFFD44;NME Investments Limited;319751
2549006M8MXDHDSFPC36;Printec SA;12155400100
2549006MIPG3JRIVIE14;China Aviation Oil (Europe) Limited;08791580
2549006NEY4S3A7XSS89;Hampton Asset Holding Ltd;1530532
2549006O3YVQ8FGDJ369;GADWALL HOLDINGS, L.L.C.;42581332K
2549006OR8DTX9LLCH92;Theoria Capital Management Pte. Ltd.;200700385D
2549006P59MOQ1ATLX32;CO.MO.I. (Suisse) SA;CH51430071540
2549006Q2SCXK1988H68;BCP Securities, LLC;0610711
2549006R8LP35W2WRF80;BLU DE Kalorama Hotel, LLC;6438363
2549006U7MHN1EG3I060;Mirabaud (CH) - LPP 40+;N/A
2549006U8SXATH10WI14;Exchange Bank & Trust;4619
2549006VLFAOYUSYFU17;Elephas Global Opportunity Master Fund;WC-315024
2549006W15JEJMVQ2071;Lundbeckfond Invest A/S;21855545
2549006WJ0MGPRG92D09;Sea Trucks International Limited;40460
2549006Y4UIGIFVYX447;BARRISTER GLOBAL SERVICES NETWORK, INC.;2785860
2549006ZBR7DM2HLKT79;434 Central Avenue Apartments, LP;201714500006
25490070QB5LWJ9JID79;Community Bank & Trust, Waco, Texas;17108
25490071M6IYTQC8G009;Fighton Asia Master Fund Limited;MC-228121
254900722Y5SDOMX7127;GC WATERSTONE, LLC;6333139
25490072C0PMGDUJQU77;GNB Bank;428895
25490073J86N02XTAA20;The 140 Trustee Company Limited;00812000
25490075KWKUTD06EL36;GBM International, Inc.;2261305
25490076EQ27D6EE6T16;Lincoln 1st Bank;n/a
25490076GJ3OPTQBXI08;Mary Kinross Charitable Trust;212206
25490077CFAR64Z30J18;Mirabaud Asset Management (Espana) SGIIC SA;A62949805
25490077HC7QXLDHT937;Seabury Global Markets LLC;5921780
2549007904V5LEBO0B08;Torq Capital Management (HK) Limited;2398470
2549007CB3MH7PS6YS57;Detente Limited;189127
2549007DY401C9SU6R85;CFMDC BWAY Retail Mezz Plus II LLC;6470756
0BY45GEF32ZDMC370E43;Drawbridge Long Dated Value Fund II (B) LP;4061611
0KI513U38P254A4IFP31;FRO UB Investments LLC;5035251
1TQQ1F10UYW801TNUV23;Fortress Partners Fund LP;4172517
213800L88QLU23AVIT63;ATOMVEST LIMITED;2177959
213800R4G3N2G68CHU37;BARCLAYS DRYROCK ISSUANCE TRUST;5166902
2221000N0GRF62YN0A28;CF Stefano Property Holdings S.à r.l.;B197125
222100Y1BWNS1NM1Q002;CF Lambert Property Holdings S.à r.l.;B188074
25490000OGVJZR74L509;Utah Mortgage Loan Corporation;1099419-0142
25490002QDEB2KTLNK39;Latvijas Republika, ko pārstāv Latvijas Republikas Valsts kase;90000597275
25490003YGASV5ENH153;Reliance State Bank;85047
25490004B8LKDPE9SE12;Atlantis Investment Management (Hong Kong) Limited;AFH256
25490004EH77G8CG3205;MCAP LLC;4461662
25490004HIQXR4TPCB88;Canadian Dentists' Insurance Company SCC;25866
25490004VI9T96LWQO26;Falling Creek 2530 LLC;6401154
25490004XX5DDMZX9P38;Multi Metals Harbour Pte Ltd;201538885Z
25490007RQZBTI91HW10;BT Asset Management SA I SA;PJR05SAIR/120016/29.03.2005
25490008E58FJ6W0UF31;Everbright Dynamic Bond Fund;CT-269899
254900098L1CRLQ9UW35;Kestrel S.A.;CHE-103.267.505
2549000AILT0S3JB6U32;Stirling Medical Lacombe, LLC;42580171K
2549000BFX2MHJAEPB46;PYRUM LTD.;1940867
2549000BL57D7H75EI05;Anella Limited;10460085
2549000BZP6G34K8S041;Whitaker Securities LLC;3525277
2549000CMOE4SRPHZD78;Schildershoven Finance B.V.;33287037
2549000CMS7EXFGYOD08;TTK REINSURANCE COMPANY, LTD.;E 44315
2549000F6WFO5OOBV166;China Alpha Fund Management (HK) Limited;467286
2549000FHWYBIGFSNQ33;Rubber Realty Trust;""
2549000H0WG6XTA5IV30;CI Casa de Bolsa S.A. de C.V.;VCB070518M88
2549000HMYQCZR4AU507;天造股份有限公司;20895630
2549000HYYAUPFRFTQ09;Topline Securities Limited;0042619
2549000IR158C2STKF79;Southern Trust Sociedad Gerente de Fondos Comunes de Inversion S.A.;1802006
2549000ISKL3OP5JUK41;Foundation CA Fund VII Owner, LLC;201330410360
2549000K988VB2LHA565;FFA (Dubai) Limited;CL0269
2549000KI904N9LYRH98;Saga Tree Asia Master Fund;635062
2549000LLYQ1UYXBI872;Jelco Investment Ltd.;18509
2549000LSCTO83QYU961;OSIRIS Capital Partners LLP;478159
2549000MRHJDB1GIKH75;Herbert Taylor Trust U/A 2/1/1961;""
2549000NTDO0Q5Y5VF72;First Community National Bank;1639
2549000O4WBBX55V8O79;Platina Greater China Master Fund;1300935
2549000OWFBPPNL7DY29;Mirabaud Swiss Equity Asymmetric;N/A
2549000PKA1I9FK59J44;Fighton Capital Limited;BDQ377
2549000Q4RQ5IP0D4054;PEN Concept Group AB;556772-5667
2549000QEHVKHWOQ5D23;MyTyme Investments Inc;870417-1
2549000R3O495ZN9H307;China Alpha Master Fund Limited;1242942
2549000T5CFDH9S64739;Sagaponack Aircraft, LLC;1133844
2549000V0AZNY9G2SB94;OCC Purchase LLC;4380452
2549000VSYWIQCCNP311;Chatsworth Asset Holding Ltd;1715470
2549000XX55X5K3UG024;XT MARITIME LTD.;510797152
2549000ZEJPSBH6OSH79;The Henry County Bank;166189
25490010AR6F8MWX6465;Ignacio Pines, LP;201714500003
254900132QUSIC6EMR63;Global Securitisations SCC p.l.c.;77732
25490014H5TMIL4E7G03;Lake City Federal Bank;1446
25490014K7C8FA2TMO06;Creativity Global Equity Fund;276052
254900152J7FTISBM048;Immobiliere du Vivier d oie SPRL;0466.239.408
25490015J04ZUM41AU12;RACER REINSURANCE COMPANY, LTD.;E 43064
25490016KMG6S9UAVM61;LIVING STREAM MERCHANTS INC.;BC1032449
25490017IQ0VEEXTOG38;Capital Global Management Limited;ALY556
25490018IFQOT83Q7H49;GSF Mortgage Corporation;2479046
2549001A8TEFEV57IZ02;ALDERMAN'S REINSURANCE LIMITED;E 40013
