LEI;LegalName;BusinessRegisterEntityID
0BY45GEF32ZDMC370E43;Drawbridge Long Dated Value Fund II (B) LP;4061611
0KI513U38P254A4IFP31;FRO UB Investments LLC;5035251
1TQQ1F10UYW801TNUV23;Fortress Partners Fund LP;4172517
213800L88QLU23AVIT63;ATOMVEST LIMITED;2177959
213800P4PFNL568E5H97;PACIFIC ALLIANCE CHINA LAND LIMITED;MC-194556
213800PGTK4AZZCJOT28;LANCASTER COMMODITIES LIMITED;09708031
213800QQM97965VXFR95;Pipestone Capital Inc.;1047944
213800R4G3N2G68CHU37;BARCLAYS DRYROCK ISSUANCE TRUST;5166902
2221000N0GRF62YN0A28;CF Stefano Property Holdings S.à r.l.;B197125
2221005IJ6O7NL26SJ66;Mirae Asset Global Discovery Fund - Mirae Asset Asia Pacific Equity Fund
2221005MFDFCMNEPTS88;Mirae Asset Global Discovery Fund - Mirae Asset Asia Pacific Multi-Asset Income Fund;563447
2221006PVNPF6A92IY04;Mirae Asset Global Discovery Fund - Mirae Asset Asia Bond Fund;B0138578
2221008PYLFRWFPT2H98;Mirae Asset Next Asia Pacific Equity Fund;B0138578
222100CVW86PTOC83808;Mirae Asset Global Discovery Fund - Mirae Asset Asia Great Consumer Equity Fund;563417
222100DE4QQFWU3NBR12;Mirae Asset Global Discovery Fund - Mirae Asset Global Emerging Opportunities Bond Fund;B138578
222100I358EC3EI90E20;Mirae Asset Global Discovery Fund - Mirae Asset Islamic Asia Sector Leader Equity Fund;B0138578
222100ONRIUSP1O5XU43;Mirae Asset Global Discovery Fund - Mirae Asset Korea Equity Fund
222100OOOHG7SOOE6884;Mirae Asset Global Discovery Fund - Mirae Asset GEM Sector Leader Equity Fund;563410
222100U5R2US4E0X1N52;Mirae Asset Global Discovery Fund - Mirae Asset India Sector Leader Equity Fund;B0138578
222100UBBB4EITOY4R39;Mirae Asset Global Discovery Fund - Mirae Asset Asia Sector Leader Equity Fund
222100XEFYM8TFX7MX77;Mirae Asset Global Discovery Fund - Mirae Asset China Sector Leader Equity Fund;B0138578
222100Y1BWNS1NM1Q002;CF Lambert Property Holdings S.à r.l.;B188074
25490000OGVJZR74L509;Utah Mortgage Loan Corporation;1099419-0142
25490000VA37H9UBC731;Pacific Alliance-W Asia Special Situations Fund L.P.;IC-41725
25490001FCPU7FKN2P23;Franklin Avenue Baptist Church;34305856W
25490001TVXR4PC2SV51;Kanavage LLC;W13284302
25490002QDEB2KTLNK39;Latvijas Republika, ko pārstāv Latvijas Republikas Valsts kase;90000597275
25490003YGASV5ENH153;Reliance State Bank;85047
25490004B8LKDPE9SE12;Atlantis Investment Management (Hong Kong) Limited;AFH256
25490004EH77G8CG3205;MCAP LLC;4461662
25490004HIQXR4TPCB88;Canadian Dentists' Insurance Company SCC;25866
25490004VI9T96LWQO26;Falling Creek 2530 LLC;6401154
25490004XX5DDMZX9P38;Multi Metals Harbour Pte Ltd;201538885Z
25490005BJ7GY5UIKP43;SYMBOL WOOD LIMITED;7267363
25490007BKCOB4T1PK16;Virgin Australia Airlines Pty Ltd;ACN 090 670 965
25490007CPP74MHO7U33;Bullion Trading Company;56278
25490007RQZBTI91HW10;BT Asset Management SA I SA;PJR05SAIR/120016/29.03.2005
25490008E58FJ6W0UF31;Everbright Dynamic Bond Fund;CT-269899
25490008HJSJXXX9TO61;Inspirus Credit Union;68362
25490008K82OP15ACH17;NWIC-3, LLC;201712910638
2549000986YMQFCTK765;The M&J Family Trust
254900098L1CRLQ9UW35;Kestrel S.A.;CHE-103.267.505
2549000AA241O35AK993;SMHNC Meyers LLC;6505073
2549000AC5ZNYC5LC698;Casa Alba-Independenta S.A.;23058338
2549000AILT0S3JB6U32;Stirling Medical Lacombe, LLC;42580171K
2549000BFX2MHJAEPB46;PYRUM LTD.;1940867
2549000BL57D7H75EI05;Anella Limited;10460085
2549000BM0WO58JZZQ75;Rutherford Wilkinson Limited;150317
2549000BZP6G34K8S041;Whitaker Securities LLC;3525277
2549000C2WMA2SO9BO56;Swan Restorations Limited;1430759
2549000CC7HZOPEY1C18;Sterling Cooper AB;0709-486543
2549000CKZ6TSIXAD225;Eagle Holdings XI LLC;000910876
2549000CMOE4SRPHZD78;Schildershoven Finance B.V.;33287037
2549000CMS7EXFGYOD08;TTK REINSURANCE COMPANY, LTD.;E 44315
2549000DRW54SZT12Q54;Santa Barbara Asset Management, LLC;3992368
2549000EW8NTXYXN9L74;MAN IP 220 GLG SERIES 2 LTD;45079
2549000F6WFO5OOBV166;China Alpha Fund Management (HK) Limited;467286
2549000FHWYBIGFSNQ33;Rubber Realty Trust
2549000FVNTQPHLFOF78;MOT, L.L.C;B4672U
2549000GKUHZDTHJH521;Eurospektras UAB;126206243
2549000H0WG6XTA5IV30;CI Casa de Bolsa S.A. de C.V.;VCB070518M88
2549000HMYQCZR4AU507;天造股份有限公司;20895630
2549000HYYAUPFRFTQ09;Topline Securities Limited;0042619
2549000IDAZ4A9IGMN33;IECD (SAC) Ltd Segregated Account 002
2549000IR158C2STKF79;Southern Trust Sociedad Gerente de Fondos Comunes de Inversion S.A.;1802006
2549000ISKL3OP5JUK41;Foundation CA Fund VII Owner, LLC;201330410360
2549000K7JU5T9E1WI70;PETER CREMER CANADA LTD.;839842754MC0001
2549000K988VB2LHA565;FFA (Dubai) Limited;CL0269
2549000KI904N9LYRH98;Saga Tree Asia Master Fund;635062
2549000L1634R60QZ708;Adema Consulting AB;556931-0088
2549000LH3SWRWU99Y13;NATIONAL INVESTMENTS COMPANY;310
2549000LLYQ1UYXBI872;Jelco Investment Ltd.;18509
2549000LSCTO83QYU961;OSIRIS Capital Partners LLP;478159
2549000MLWTYQ3RC4U80;50 Ferncroft (Boston) Esong LLC;001273763
2549000MMCRI6KI0U773;Burgundy International Limited;125683
2549000MRHJDB1GIKH75;Herbert Taylor Trust U/A 2/1/1961
2549000N8PNNMW2W9267;Triad Securities Corp;404844
2549000NAG1RUNS87603;The DE Capital Trust;T 4567
2549000NTDO0Q5Y5VF72;First Community National Bank;1639
2549000O4WBBX55V8O79;Platina Greater China Master Fund;1300935
2549000OWFBPPNL7DY29;Mirabaud Swiss Equity Asymmetric;N/A
2549000PKA1I9FK59J44;Fighton Capital Limited;BDQ377
2549000PTJ9V80EEDA16;Studio Investments Limited;370235
2549000Q4RQ5IP0D4054;PEN Concept Group AB;556772-5667
2549000QEHVKHWOQ5D23;MyTyme Investments Inc;870417-1
2549000QTMDADQXVKE90;Supply Chain Management (Asia) Limited;2419434
2549000QX6RLQOZ2XC11;Academy Securities, Inc.;2075234
2549000R3O495ZN9H307;China Alpha Master Fund Limited;1242942
2549000R3VYZJ88RSZ91;The Medit Trust
2549000R65OAWUZLN298;Eurozone Investments Ltd.;1511034
2549000SDUUI1Q08LN53;Marton Three Limited;675640
2549000SPN2LQ8RR9116;The Bryan and June Amos Foundation;1148785
2549000T5CFDH9S64739;Sagaponack Aircraft, LLC;1133844
2549000TMTYVHVCEBC66;Stonecret Commercial Inc.;583275
2549000U684A8UZ3XN44;The Joseph Turner Recocable Trust
2549000V0AZNY9G2SB94;OCC Purchase LLC;4380452
2549000VSYWIQCCNP311;Chatsworth Asset Holding Ltd;1715470
2549000VVDQ9NNW01Q23;Listerhill Credit Union;064-720
2549000WVXH45WGGJG88;Court Cavendish Limited;04290684
2549000X7ZI1Z3Q0SJ56;Bank of Saint Lucia Limited;2003-00311
2549000XX55X5K3UG024;XT MARITIME LTD.;510797152
2549000Y2ZLJE0H41I95;Quantex Interinvest Ltd;1059057
2549000YXMCQO1MCS374;WETT Eesti OU;10495860
2549000ZEJPSBH6OSH79;The Henry County Bank;166189
25490010AR6F8MWX6465;Ignacio Pines, LP;201714500003
25490011H85SSLTYVH49;MenuCard AB;SE559046-2759
25490011N80GFJ0HOF04;Asternul S.A.;217317760014
25490011Z0CSC0JZIB59;California Garden Products FZE;5008432
25490012KFFZI81TDT02;The Fidelity Bank;0225257
254900132QUSIC6EMR63;Global Securitisations SCC p.l.c.;77732
254900138EEEWPNQGD48;E Handcock Limited;4362011
25490014H5TMIL4E7G03;Lake City Federal Bank;1446
25490014K7C8FA2TMO06;Creativity Global Equity Fund;276052
254900152J7FTISBM048;Immobiliere du Vivier d oie SPRL;0466.239.408
25490015J04ZUM41AU12;RACER REINSURANCE COMPANY, LTD.;E 43064
25490016KMG6S9UAVM61;LIVING STREAM MERCHANTS INC.;BC1032449
25490016YGAK511V8O02;Stumholmen Consulting AB;556811-2485
25490017IQ0VEEXTOG38;Capital Global Management Limited;ALY556
254900182IXIJEMKDJ23;Forest Laboratories Holdings Limited;196409
254900185871AVTKC728;Ad Valorem Wealth Management Solutions Limited;07935927
254900189BBQANKT0M72;Ipek Mobilya imalat Ithalat Ihracat Sanayi ve Ticaret Anonim Sirketi;15871
25490018IFQOT83Q7H49;GSF Mortgage Corporation;2479046
25490018M4ZIVVCJLY10;The Mrs Francis 1989 Offshore Trust
25490018M89AMQMRRH64;SEVERNAV S.A.;J25/03/1990
25490018TBC4I3004488;AS Rait;10152828
25490018YJO6FQPT1105;Crossings at Lake Mead, LLC;LLC4478-2000
2549001A7HW5QGG10B12;Pessego Property Limited;387997
2549001A8TEFEV57IZ02;ALDERMAN'S REINSURANCE LIMITED;E 40013
2549001AFP4CS14GLU82;EJC CSC REINSURANCE COMPANY, LTD.;E 43284
2549001AS1I9A71VG663;Copel - Companhia Paranaense de Energia;41300036535
2549001BT3X7U8HSR129;LR Prof OÜ;14178761
2549001CQGRSBIIMSH98;Ambient Bidco Pty Ltd;612333481
2549001E11O22GGBEL86;Prairie State Bank&Trust;27362
2549001E4C9SAFOWT977;Contrasto Oy;2165953-3
2549001E7EW3LALI5S74;Morden Barn Limited;10476370
2549001EJKU6MN8ZK820;PLANWISE GROUP LIMITED;1686824
2549001EQMT6S5AP7U66;Healthcare Financial Management Association;5787972
2549001FFAPF84BH0A66;Hopetown Holdings Limited;168739B
2549001H3XK1C0SG4Y69;Josephine Milne Trust;Document
2549001HCOB6ESCT8L65;Feracs Asset Management&Advisory SA;41ZNEQ
2549001HNYQAL6IYKC07;Sapphire Managed Holdings Limited;207482
2549001HZVHVRBNBEN22;The Desert Bear Trust
2549001I4ATS1KC35556;CFMDC BWAY RETAIL MEZZ II LLC;6358695
2549001IFQH4IOG05U82;Multiplex Financial Trustees Limited;135139
2549001IK7UDPADKAG34;Unitus Community Credit Union;219594
2549001J6ZXRWGYVR430;Image Microsystems Inc.;0800010938
2549001JUXIA7YLZ7Y17;Suisse International Inc.;113275
2549001K03EZE3ES4D84;Courpark Holdings Limited;05551828
2549001K1AC145600S11;Jojka Communications AB;556666-6466
2549001K9QJ4PRLAGY77;Royal College of Surgeons of Edinburgh;SC005317
2549001LDDDSLXE49U85;Abbeylord Properties;03056680
2549001NL0UO9NM60Z72;RICHARD INTERNATIONAL SA;B66317
2549001NQ7BAVV6W4T53;Factorial Master Fund;WK-263313
2549001NQLF1MJFJ2M98;Encrete Properties LLC;1594480
2549001NTB6SF7YOKR83;Jean M Woodman 1992 Trust
2549001NYA75SUFD9C04;G&S REINSURANCE Limited;E 43976
2549001OK55PFGXM4827;USINAS SIDERURGICAS DE MINAS GERAIS S.A. USIMINAS;5834096
2549001OPEPHSA54XB67;Sama Wealth Limited;10545776
2549001P97B3GCUG7556;AGRANA ROMANIA SA;J40/4411/2008
2549001PHJ6E8ZXJSN51;Regmar House Investments Limited;548387
2549001PK6LD80M08083;F. L. Tucker, Ltd.;0015147910
2549001QHHVX9WJEEA81;Core-Backbone GmbH;HRB10189
2549001QJD3D7SHZ9T52;Harvest Small Cap Partners Master, Ltd.;610116
2549001QJR2MWRNCUO70;Cornel B.V.;59049774
2549001QM58TZOVRDU60;Beaconsfield Language Services Limited;05996331
2549001R901BOUXDJQ68;The Bank of Holly Springs;401427
2549001RCXU87G6HIR86;Bella 2017 LLC;17048533
2549001SIQRC2UCXAV08;LG Addison, LLC;32059316698
2549001TX7CBY80DP476;Pleasant View Nursing Home, Inc.;433673
2549001U8PEU6CPXS634;PANETTA PARTNERS LIMITED;1686240
2549001UONXNWFK88N65;Gønge Invest A/S;26753805
2549001UQXYY5WOLXK20;General Atlantic Singapore Fund FII Pte. Ltd.;201400273H
2549001V0ERAU6EVET98;TRANSGATE EXPORTS L.P.;SL015388
2549001V2UV655G3RM91;Reliance Servicos Financeiros Ltda;35218685989
2549001VRGCSATBHJU56;Centium Investments, Inc.;802705487
2549001VSCQM9DMFIH47;Varna Holdings Limited;59063
2549001VTOPU7JA6G249;FNCB Bank;239613
2549001VUVJX7ON0P746;Ace Advisor Finance Limited;575066
2549001W0Y6FBB6L2N68;Ambit Capital Private Limited;INB231247637
2549001W6PUOXOUM7532;Credicorp Capital Securities, Inc.;P01000094979
2549001WF15H4BEW9K57;PLEASANT VIEW ASSISTED LIVING LIMITED LIABILITY COMPANY;1011195
2549001WV5NUZXV0NW40;Tahan Asia IG Opportunities Fund;WK-286091
2549001X5JEYBXV8MR54;Coffee Stain Studios AB;556821-8225
2549001XBRI5XQ0ZDA12;Joseph Gunnar&Co., L.L.C.;2781969
2549001XL79VZWJO5Q69;Anlagestiftung Swiss Life - BVG-Mix 45;CHE-109.469.349
2549001XNOVBL68CPP27;Fort Knox Federal Credit Union Service Organization Inc;0173933
2549001XVX1R2ITF6935;Home Federal Bank Corporation;0522973
2549001YJP0PGPNIJU35;Skyhills Properties Limited;1441391
2549001YS6CJJ8W6M615;Flag Income Notes Pty Ltd;91160816375
2549001YTWJAYZ2K6Q89;PAG Enhanced Credit Fund L.P.;IC-84514
2549001Z9LKB35FX7237;McFarland State Bank;02476
2549001ZA93O65N2ZM60;MMC Securities LLC;3615892
2549001ZHHHGLZBKI224;Fitzpatrick LP;6507210
2549001ZLETDHBBYLL07;EBS 2 REINSURANCE COMPANY, LTD;E 45820
254900207GAVYDQZRI82;SNOWDROP VENTURES LTD.;135940B
254900209RCSQY1RQI44;Lars Svendsen Holding ApS;21305073
25490020ANCY4VDS3D20;ADMIS Singapore Pte Ltd;200802063h
25490020BGU8RWMTIZ94;GASTRONOM SA;1154474
25490020BN5AILK9O105;Emerald Global Fund SPC - Platinum 18 SP;1201336
254900215DNCPJX4Y503;Avicola Bucuresti SA;J40/12/1991
25490021DTRBNOWLT312;JB Capital Partners Pty Ltd;2014/094385/07
25490021G3563H730846;中國新永安期貨有限公司;1065972
254900226EJ24G15WE83;Pantanas Holdings Limited;583333
25490022SBYRP0W1UO83;STARLIGHT CAPITAL LIMITED;294542
254900231MD56Q9O9964;Sport Securities Inc.;202802
254900237R332M8L2724;The Miners National Bank of Eveleth;1144
25490024XV5ZTBJ1W891;Sunfresh Ltd;05207224
25490025ADAPYIZKN737;Crops Enterprises Limited;503704
25490025AM6C4EGENL26;Super Rich Development Ltd.;1472576
25490025XB7IDBRLQ851;The Nook at White Rock East, Ltd;0802742027
25490026AB9ME1DX2507;DBS Vickers (Hong Kong) Limited;03774353-000-02-17-0
25490026BC0N00X2SU47;Teakwood Capital Limited;2419135
25490028I7TZKV4CM392;Karpau AB;556834-6398
25490028SI8JIAB18P08;Cjm Consulting Stockholm AB;556790-9444
25490029OUUQVDHTBV14;Compass Bank Corporation;2923
25490029SAA3XR1IFK27;Crestone Wealth Management Limited;AFSL 231127
25490029YJHFABABT680;United Bay Community Credit Union;61186
2549002AOWUCD3BSTP80;AmeriFirst Bank;213– 851
2549002B5Z6OVPFNNH70;Spicata AB;556695-5315
2549002C4B9B6YEB3893;Thornton Apartments, LP;801656053
2549002C5KP28J1DAA98;BHL Holding AB;556865-2084
2549002DKGJ41OC24402;Bigel Ltd.;1141394
2549002DORMGG91R8L29;Woodhouse International Fze;LICENSE NO 1586
2549002E7AXHKP3G8A77;Furzebrake Investments Limited;55967
2549002EF9CZ2IF5LG39;The Helen and John Baatz 2006 IOM Trust
2549002EF9Z61FV5QY34;Global Integrity Alpha Fund Limited;576785
2549002F2MBMPG0YSQ20;BOONVILLE FEDERAL SAVINGS BANK;191631-019
2549002FQJ4364A54N70;Singtel Group Treasury Pte. Ltd.;200101508W
2549002FT6KOTVJBJ598;Parmer RTP, LLC;6393352
2549002H1624N6UI8169;Hansa Aktiengesellschaft;CHE-107.904.340.
2549002HZ6B3ZIAO3Q76;FAMILY FIRST CREDIT UNION;785491
2549002I5BTSVU330U48;Apricus Finance SA;100073
2549002IAQYS1LVQE895;River Oaks Limited;83938
2549002IPNQDP2K6GV51;Forest Laboratories, LLC;5481874
2549002IXACRD1HE6A92;Midstates Bank, N.A.;4465
2549002IXSOFFVBXQR45;Earlyworld Capital Limited;10023409
2549002IZ23SIRJOUQ02;House of Wealth SA;CHE-223.636.405
2549002K9XFYLEC6A311;Lascaux Resource Capital Fund I, LP;220660856
2549002KNNRT791PG760;Farmers&Merchants Bank;108 - 222
2549002L4E0NPKAUS543;Monab Asset Management Limited;ΗΕ 338849
2549002MI5DFOS2RR259;Countryside Bank;21952
2549002MSOOOIAHT2W65;Bitnomial, Inc.;5857584
2549002OCMCJIOOONI88;United Bank of Iowa;84935
2549002OD3DEYB277P44;Vaudoise Generale, Compagnie d'Assurances SA;CHE-105.762.690
2549002ORMUHMHQ4HZ46;ETIA CAPITAL LTD;514983980
2549002PCG8YFUO2J353;Arsenal Employer - Financed Retirement Benefits Scheme
2549002PLWTG0IBMUY68;CK Holdings Ltd.;45479
2549002PTX8CJA1OZX37;Alpha Beta Capital Pty Ltd;154076490
2549002Q5KZ0RDKI8602;Royal Resources Capital AG;CHE‑415.149.268
2549002QCUH9VKMEXE05;BNC International Banking Corporation;EBI-12
2549002SF3DG2I3JQQ59;G S Shingles Discretionary Trust;Document
2549002SPPIBY55JEM84;Morningstar Investment Management Europe Ltd;449468
2549002SQR1MM5REV677;Violin Capital LTD;ΗΕ 333095
2549002SVNP5G7BSWS88;Lisnave - Estaleiros Navais S. A.;503847151
2549002SWR163M5NPX96;TAURUS CD 193 OLDE RALEIGH NC LP;6458203
2549002T20YHNLZPOR80;Moz Property Limited;1643176
2549002TPGTMZLVN8883;Xentum Limited;408229
2549002TQ5EXOKR6FC64;The Roseville Trust
2549002U3LFD021N7R95;Fincere Capital Management Ltd.;553288
2549002UGAA36RN7B438;Silo Investments Limited;125919B
2549002UT7BIL1Q37Y06;Nufarm Treasury Pty Ltd;008884240
2549002UU42MHG4VYL90;GOLDEN MARS HOLDINGS LIMITED;1590461
2549002VQWUNB4JS7247;G-20 Advisors AG;CHE-358.588.730
2549002VY0F1FSETRS67;DJT Real Estate, LLC;1658750
2549002W5VYTQLKC3802;Kaiser Cars AB;556256-0184
2549002WFFL1GCJKEW56;Hottinger Capital SA;CH02030215621
2549002WSIRT5C0V7588;TLK i Kungsbacka AB;556882-9286
2549002WTFNYR2364776;Thame Welfare Trust;241914
2549002XEBHC884WOH60;Diversified Rehab Services, LLC;D10122
2549002XJ4MVEUI80F27;Decorem Limited;1036773
2549002XPEQH1AZYBW05;Anlagestiftung Swiss Life - Obligationen CHF Ausland;CHE-109.469.349
2549002XQ3MQUYURJC93;Woocon AB;556783-6985
2549002YE54CIYOVYX90;WIM FMB Portfolio Owner, LLC;6458104
25490031FGAPNALV8F42;NUTON Aktiebolag;556665-8083
2549003332OMNKMBL333;M. A.&C. F. M. Enterprises, Inc.;0417092
254900335WSCL5NYU573;Factorial Management Limited;AYJ875
25490033EM4BVCNMV680;WCOL, L.L.C.;0802274005
25490033GU2UKWY8MK10;MKS Lodgings LLC;2013052000389
25490033YJ7IUZ773G48;National Avenue Partners II, LLC;6413710
25490034BVGS7OS39U91;Cloudon Investments Ltd;1407967
25490034D9PODALSAP93;PTT International Trading Pte Ltd;200010108W
25490034DLYC6WIVUW53;IG Finance Plc;C 78720
25490035428AM6LVGV06;GRATTAI FARM PTY LTD ATF GRATTAI INVESTMENT TRUST
25490035ZJGFWJW10158;Gionic Holding SA;CHE-103.600.042
25490036KQCCNCIJ1O24;Jalisco SCS;0807046235
25490036TCKKFNQHS051;Leo Property Investments Limited;450540
25490036VZXFDDH37Q07;Century Bank of Georgia;K931582
254900372RJSFIZ5QQ10;Sierra Park, LLC;6406008
25490037GMN5AOTFEF52;Greenross Foundation;33109
25490037ICV7XT5LCB72;Front Street Re (Cayman) Ltd;CR-238642
25490037IKJRWWR7GU42;Gillian Von Drehle Trust
25490037ON3CADDCXT22;54KR 8me LLC;5801548
25490038431V6IB49A17;TaHa Limited;IC/2811/10
25490038N6JQH7QXUK52;RAIN CARBON INC.;4872871
254900396PRJ1IFE5N27;Lily Innovation Advisors SSAS
25490039D55J3ZL21O72;Sibcy Cline Mortgage Services, Inc.;612526
25490039WM4YHQHK1G77;MIDLAND CONSUMER INTERNATIONAL LIMITED;153341
2549003AFW5GGG2Q4X56;PAG-G AR Co-Investment Fund LP;IC-88076
2549003ANJCL8IYBDU29;901 OCEAN AVENUE DELAWARE LLC;6420897
2549003AZ48HJRWR3J74;Integral Technology LLC;5222214
2549003BF3600UJ0OG55;Vantage Overseas Limited;608776
2549003CDJYQXLFPA458;Platinum Victory Pte. Ltd.;201115401R
2549003CUY599D7OCD90;Golden Agri International Pte. Ltd.;199800781G
2549003DAILATLCBDJ67;CM-CIC Market Solutions, Inc.;2960210
2549003E1YOW83GR2Q12;Plaquemine Bank and Trust Company;19800
2549003EO8ZI6M8N7A93;Mopoke Investments Ltd;1393788
2549003F90K7PRKD4T11;Hexa Master Investment Fund;302838
2549003FSXAN09LVOF66;Judico Equity Master Fund Limited;649541
2549003GFOF2W16K6Q27;Glassline Partnership LTD.;0011200510
2549003GK2QIVTJ8BB21;ALBLW Reinsurance Limited;E42727
2549003GUT38CVJ5C610;PT Sinar Mas Agro Resources and Technology Tbk. (PT SMART Tbk);09.05.1.10.38305
2549003GYDWQEXJ5K320;CHOW TAI FOOK ENERGY (SINGAPORE) PTE. LTD.;201436952G
2549003H6QL9L5DQUW11;Goldcin Partners LLP;509772
2549003H791KDHHWX744;Ajeej Capital (DIFC) Limited;CL1202
2549003HAH474S22EC95;FS Wealth Management Ltd;727510
2549003I628RVLQLDM21;CCF BKM CABOT, LLC;6421584
2549003J513S1O6C9Z82;mRNA RiboTherapeutics, Inc.;C070594
2549003JCE4UBBB88S53;Casa De Bucovina - Club De Munte SA;J33/718/1998
2549003KE4TBG4N5AY60;Union Bank;390840
2549003KKT3IIF6E7I32;Elephas Investment Management Limited;BGB208
2549003KOFTV7H8SPW86;Marylebone Securities Limited;660377
2549003KXHW3E3W4OA87;Castanum Holdings Limited;1847112
2549003L3YJSY29EP505;Crown Bank;35480
2549003L5HJHI7HTC659;McFarland Investment Partners LLC;17074265
2549003LPWCE6S6OJF45;1888 Bay Scott Circle, LLC;01126547
2549003LQ2GX1FXR6931;Zedra Trust Company (Suisse) SA;CHE-100.407.106
2549003LSBASC6V37P74;Pactum AS;929979397
2549003M5S8GCWN80N09;Escala Partners Limited;74 155 884 236
2549003M9JZEKMCZE926;Simpson Street Consultants Limited;10442523
2549003NAR0TGLZSPX16;Leverage Investments Company Limited;1724336
2549003NHRPU85QBEZ09;Cascam ApS;71348512
2549003NQAWOV69S1C14;Fortuna Limited;8177
2549003NW3N2TA8LS991;Gaynor Ltd.;48218
2549003P2QIEYFTMPX20;Rosburg Limited;010700V
2549003POJ4WQRVLJW28;Maugent LTD;125188
2549003PWNEB1P1TAL95;BCI ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;96530900-4
2549003Q0IK868GSBS34;Manet One Ltd;2014133041
2549003Q26OTG375UG78;Tyee Capital Global Opportunity Fund;1288280
2549003QI2YYPH8YN855;Sounion Capital Management UK Ltd;09302599
2549003SZCNXGZILEQ19;Company EYE Ltd;06473634
2549003TLEXYJIFA3O32;J. Stern&Co LLP;OC378306
2549003TVEJQMK9QJ738;W E Lawes 2009 Discretionary Settlement
2549003V3XS2RZQ4V143;NOVELTY DEPT STORE PTE LTD;199506892M
